salary_id,employee_id,salary_amount,effective_date
1,1,92132,2021-07-06
2,2,69013,2021-12-16
3,3,46463,2020-02-06
4,4,46760,2021-09-09
5,5,89025,2023-03-11
6,6,97779,2020-07-30
7,7,80836,2020-09-09
8,8,47351,2020-01-21
9,9,83627,2023-07-24
10,10,119659,2022-11-27
11,11,100876,2022-03-29
12,12,110751,2024-10-07
13,13,46016,2021-06-01
14,14,77306,2020-09-15
15,15,52531,2021-02-27
16,16,75441,2022-09-07
17,17,67686,2023-03-31
18,18,83035,2024-03-24
19,19,99060,2020-02-27
20,20,72277,2021-04-03
21,21,94349,2021-01-18
22,22,92946,2021-10-25
23,23,87123,2020-04-07
24,24,68911,2023-06-29
25,25,47075,2023-11-06
26,26,47018,2024-01-29
27,27,76289,2021-01-24
28,28,52594,2024-07-29
29,29,98138,2021-03-06
30,30,105296,2021-04-18
31,31,89637,2020-04-18
32,32,51761,2023-09-16
33,33,45345,2020-02-23
34,34,104609,2021-02-19
35,35,67969,2022-09-11
36,36,101636,2021-09-04
37,37,96400,2021-04-04
38,38,63020,2022-10-26
39,39,41171,2023-06-13
40,40,116884,2021-02-23
41,41,93820,2024-06-23
42,42,102589,2023-08-11
43,43,53892,2023-11-29
44,44,102512,2022-10-04
45,45,100645,2022-02-25
46,46,102320,2021-10-12
47,47,115399,2020-03-19
48,48,96883,2022-03-08
49,49,70343,2021-03-04
50,50,59135,2022-05-10
51,51,89085,2021-01-18
52,52,66411,2023-10-30
53,53,45688,2022-07-28
54,54,68636,2022-05-22
55,55,92632,2020-04-06
56,56,93985,2020-05-07
57,57,109715,2020-01-19
58,58,81108,2020-02-04
59,59,101851,2024-01-10
60,60,55739,2023-12-31
61,61,119260,2023-11-07
62,62,82253,2022-11-05
63,63,105879,2024-01-09
64,64,111687,2023-02-21
65,65,81229,2020-08-15
66,66,64069,2024-10-29
67,67,86928,2020-12-15
68,68,78060,2022-03-12
69,69,108745,2023-05-10
70,70,42950,2022-02-03
71,71,40197,2023-06-09
72,72,111965,2020-06-28
73,73,45789,2022-01-14
74,74,50107,2022-09-17
75,75,55735,2021-03-13
76,76,77753,2021-07-09
77,77,59277,2022-04-19
78,78,47604,2020-04-06
79,79,99065,2022-04-28
80,80,109836,2020-07-19
81,81,103892,2022-06-30
82,82,116991,2023-11-29
83,83,41119,2022-10-27
84,84,84107,2021-02-06
85,85,55720,2021-09-26
86,86,105633,2022-04-27
87,87,55168,2023-01-20
88,88,98039,2023-11-24
89,89,119271,2022-03-05
90,90,68705,2022-08-01
91,91,73991,2023-08-08
92,92,42644,2022-08-19
93,93,103041,2024-05-02
94,94,106708,2021-07-22
95,95,96626,2021-12-22
96,96,115522,2020-06-16
97,97,103620,2024-10-17
98,98,44018,2021-08-01
99,99,45194,2022-09-24
100,100,62557,2021-03-14
